,Diameter,Dia_Spline3_Base,Event
125,2.9768240704848674,-0.09733365967555319,default
126,2.9866200386467194,-0.08909626033691209,default
127,3.010814051100376,-0.0813567209564856,default
128,2.983588215552918,-0.09093279276376842,default
129,2.975541586965045,-0.10462099503112077,default
130,2.9641078706188395,-0.10197653333227796,default
131,3.005599778694494,-0.09067216554887159,default
132,2.979267150023017,-0.09935038548716646,default
133,2.955727619537135,-0.11842176424038575,default
134,2.9528537941675017,-0.11784755067447739,default
135,2.984437829656283,-0.09561547907520573,default
136,3.0130718704454384,-0.07842406922038814,default
137,2.992985392797617,-0.0871654872870411,default
138,2.9695586350374947,-0.10759419909205592,default
139,2.9547837809855,-0.11741786422936373,default
140,2.96846558630038,-0.11200395844438349,default
141,2.977532452862536,-0.10729333011174136,default
142,2.964559427753912,-0.11028918145005706,default
143,2.9694552060557404,-0.11313224971552938,default
144,2.9612644014988194,-0.11624034757597279,default
145,2.96031784086906,-0.12234012307177711,default
146,2.946002664702282,-0.12873902765241985,default
147,2.949983959343026,-0.13464961884742266,default
148,2.9326941814483054,-0.14876621574476934,default
149,2.9068260550076177,-0.1618200483515002,default
150,2.923636755356789,-0.1676674206778035,default
151,2.892493991793922,-0.17102887602497896,default
152,2.924522997181783,-0.17582842590798098,default
153,2.872409550436919,-0.189007308398907,default
154,2.8918919085750803,-0.18442562144058128,default
155,2.9233673868769268,-0.1746428960679336,default
156,2.880064973625662,-0.1873484242209691,default
157,2.8843722092142032,-0.199841855915607,default
158,2.8690864245098324,-0.20762914436832336,default
159,2.864201604519169,-0.1998676534194188,default
160,2.920302993000484,-0.19550709125908172,default
161,2.8304272846698675,-0.21661547209280396,default
162,2.8696437895148943,-0.21512990845417734,default
163,2.887028742709965,-0.18323535018925474,default
164,2.9406205645344885,-0.1623966088073998,default
165,2.899406933217788,-0.16324070798500223,default
166,2.9248659773162573,-0.17356518333967585,default
167,2.873863619017325,-0.18160992191838732,default
168,2.918230337201872,-0.17989402599736737,default
169,2.887362842815791,-0.18359771841293648,default
170,2.889916343741132,-0.18716761595318543,default
171,2.9013972461155326,-0.1873885307794123,default
172,2.8749982811364854,-0.19342781692553412,default
173,2.89215816413569,-0.18668343924612474,default
174,2.9112148738339667,-0.1765471222873276,default
175,2.896486839273396,-0.18025032207593839,default
176,2.892073399541818,-0.183952784046288,default
177,2.9008184656841443,-0.1899256424118998,default
178,2.8638503396686232,-0.19037810931167298,default
179,2.927231657958248,-0.17074770731107458,default
180,2.915958755396912,-0.16622355777086684,default
181,2.893219840390791,-0.18500517180771991,default
182,2.8748441168169547,-0.1978022719985586,default
183,2.883146078207397,-0.19942289585472572,default
184,2.8784353835756797,-0.19019191189737406,default
185,2.916478747278077,-0.1710415730953594,default
186,2.921704069713059,-0.1666112337168424,default
187,2.8909314186547665,-0.18360048170853682,default
188,2.8792944063695893,-0.20000827906968466,default
189,2.867709892553646,-0.20128116908733995,default
190,2.897424372400088,-0.18846418029460033,default
191,2.9008478816941072,-0.18289251191300648,default
192,2.8865730567860024,-0.1819311396425456,default
193,2.9155446863900343,-0.17078163440118344,default
194,2.916474273055526,-0.16756070265142098,default
195,2.898527197119559,-0.17970459292379415,default
196,2.884916201236509,-0.19416699735581133,default
197,2.872235651210508,-0.20375621340983896,default
198,2.872850882929449,-0.19974113674186622,default
199,2.900361276189459,-0.18329102600546365,default
200,2.910525700896108,-0.1709520866586458,default
